type,price,timestamp
support,64478.0,2026-08-06 11:00:00
support,64354.3,2026-08-06 12:00:00
support,64144.0,2026-08-06 13:00:00
resistance,64818.0,2026-08-06 14:00:00
resistance,64957.4,2026-08-06 15:00:00
support,64111.1,2026-08-07 04:00:00
resistance,65188.0,2026-08-07 11:00:00
resistance,65357.8,2026-08-07 12:00:00
resistance,65172.5,2026-08-08 14:00:00
support,64810.0,2026-08-09 01:00:00
support,64743.1,2026-08-09 02:00:00
support,64680.0,2026-08-09 03:00:00
resistance,65239.4,2026-08-09 13:00:00
resistance,65279.9,2026-08-09 14:00:00
resistance,65500.0,2026-08-09 22:00:00
support,64500.0,2026-08-10 13:00:00
support,64162.9,2026-08-10 15:00:00
support,63803.0,2026-08-10 16:00:00
support,63775.9,2026-08-10 18:00:00
resistance,64379.8,2026-08-11 11:00:00
resistance,64474.0,2026-08-11 12:00:00
support,63674.5,2026-08-11 14:00:00
support,63405.3,2026-08-11 15:00:00
support,63162.7,2026-08-11 18:00:00
resistance,64193.1,2026-08-12 10:00:00
resistance,64215.6,2026-08-12 11:00:00
resistance,64466.0,2026-08-12 12:00:00
support,63280.0,2026-08-12 15:00:00
support,62818.0,2026-08-13 16:00:00
support,62666.0,2026-08-14 08:00:00
support,62570.7,2026-08-14 13:00:00
support,62508.3,2026-08-14 14:00:00
support,62937.7,2026-08-16 09:00:00
resistance,63363.5,2026-08-16 16:00:00
support,64478.0,2026-08-06 11:00:00
support,64354.3,2026-08-06 12:00:00
support,64144.0,2026-08-06 13:00:00
resistance,64818.0,2026-08-06 14:00:00
resistance,64957.4,2026-08-06 15:00:00
support,64111.1,2026-08-07 04:00:00
resistance,65188.0,2026-08-07 11:00:00
resistance,65357.8,2026-08-07 12:00:00
resistance,65172.5,2026-08-08 14:00:00
support,64810.0,2026-08-09 01:00:00
support,64743.1,2026-08-09 02:00:00
support,64680.0,2026-08-09 03:00:00
resistance,65239.4,2026-08-09 13:00:00
resistance,65279.9,2026-08-09 14:00:00
resistance,65500.0,2026-08-09 22:00:00
support,64500.0,2026-08-10 13:00:00
support,64162.9,2026-08-10 15:00:00
support,63803.0,2026-08-10 16:00:00
support,63775.9,2026-08-10 18:00:00
resistance,64379.8,2026-08-11 11:00:00
resistance,64474.0,2026-08-11 12:00:00
support,63674.5,2026-08-11 14:00:00
support,63405.3,2026-08-11 15:00:00
support,63162.7,2026-08-11 18:00:00
resistance,64193.1,2026-08-12 10:00:00
resistance,64215.6,2026-08-12 11:00:00
resistance,64466.0,2026-08-12 12:00:00
support,63280.0,2026-08-12 15:00:00
support,62818.0,2026-08-13 16:00:00
support,62666.0,2026-08-14 08:00:00
support,62570.7,2026-08-14 13:00:00
support,62508.3,2026-08-14 14:00:00
support,62937.7,2026-08-16 09:00:00
resistance,63363.5,2026-08-16 16:00:00
support,64478.0,2026-08-06 11:00:00
support,64354.3,2026-08-06 12:00:00
support,64144.0,2026-08-06 13:00:00
resistance,64818.0,2026-08-06 14:00:00
resistance,64957.4,2026-08-06 15:00:00
support,64111.1,2026-08-07 04:00:00
resistance,65188.0,2026-08-07 11:00:00
resistance,65357.8,2026-08-07 12:00:00
resistance,65172.5,2026-08-08 14:00:00
support,64810.0,2026-08-09 01:00:00
support,64743.1,2026-08-09 02:00:00
support,64680.0,2026-08-09 03:00:00
resistance,65239.4,2026-08-09 13:00:00
resistance,65279.9,2026-08-09 14:00:00
resistance,65500.0,2026-08-09 22:00:00
