pattern,level_price,timestamp
ложный пробой (ЛП),64743.1,2026-08-18 19:00:00
ложный пробой (ЛП),64680.0,2026-08-18 19:00:00
пробой вниз,64743.1,2026-08-18 19:00:00
пробой вниз,64680.0,2026-08-18 19:00:00
ложный пробой (ЛП),64591.0,2026-08-18 20:00:00
пробой вверх,64591.0,2026-08-18 21:00:00
ложный пробой (ЛП),64591.0,2026-08-18 21:00:00
ложный пробой (ЛП),64591.0,2026-08-18 22:00:00
пробой вверх,64591.0,2026-08-18 22:00:00
ложный пробой (ЛП),64680.0,2026-08-18 23:00:00
пробой вверх,64474.0,2026-08-19 01:00:00
пробой вверх,64466.0,2026-08-19 01:00:00
ложный пробой (ЛП),64591.0,2026-08-19 01:00:00
ложный пробой (ЛП),64379.8,2026-08-19 02:00:00
ложный пробой (ЛП),64474.0,2026-08-19 02:00:00
ложный пробой (ЛП),64466.0,2026-08-19 02:00:00
ложный пробой (ЛП),64400.0,2026-08-19 02:00:00
ложный пробой (ЛП),64379.8,2026-08-19 03:00:00
ложный пробой (ЛП),64379.8,2026-08-19 04:00:00
ложный пробой (ЛП),64379.8,2026-08-19 04:00:00
ложный пробой (ЛП),64215.6,2026-08-19 05:00:00
ложный пробой (ЛП),64379.8,2026-08-19 06:00:00
пробой вверх,64215.6,2026-08-19 06:00:00
ложный пробой (ЛП),64162.9,2026-08-19 07:00:00
ложный пробой (ЛП),64474.0,2026-08-19 09:00:00
ложный пробой (ЛП),64466.0,2026-08-19 09:00:00
пробой вверх,64400.0,2026-08-19 09:00:00
ложный пробой (ЛП),64379.8,2026-08-19 09:00:00
ложный пробой (ЛП),64474.0,2026-08-19 09:00:00
ложный пробой (ЛП),64466.0,2026-08-19 09:00:00
ложный пробой (ЛП),64400.0,2026-08-19 09:00:00
ложный пробой (ЛП),64379.8,2026-08-19 10:00:00
ложный пробой (ЛП),64400.0,2026-08-19 10:00:00
ложный пробой (ЛП),64400.0,2026-08-19 10:00:00
пробой вверх,64474.0,2026-08-19 11:00:00
пробой вверх,64466.0,2026-08-19 11:00:00
пробой вверх,64474.0,2026-08-19 11:00:00
пробой вверх,64466.0,2026-08-19 11:00:00
пробой вверх,64803.5,2026-08-19 12:00:00
пробой вверх,64835.0,2026-08-19 12:00:00
пробой вверх,64900.1,2026-08-19 12:00:00
ложный пробой (ЛП),64500.0,2026-08-19 12:00:00
пробой вверх,64591.0,2026-08-19 12:00:00
ложный пробой (ЛП),64740.0,2026-08-19 13:00:00
пробой вверх,64900.1,2026-08-19 13:00:00
пробой вверх,64956.8,2026-08-19 13:00:00
пробой вверх,64968.3,2026-08-19 13:00:00
ложный пробой (ЛП),64500.0,2026-08-19 13:00:00
пробой вверх,65036.9,2026-08-19 13:00:00
пробой вверх,64957.0,2026-08-19 13:00:00
пробой вверх,65239.4,2026-08-19 14:00:00
пробой вверх,65279.9,2026-08-19 14:00:00
пробой вверх,65036.9,2026-08-19 14:00:00
пробой вверх,65188.0,2026-08-19 14:00:00
